Day,Meal,Recipe,Ingredients,Calories,Carbs_g,Sugar_g,Protein_g,Post_Meal_Exercise,Daily_Evening_Workout
Day 1,Breakfast,linda s new england fried clams,"['clams', 'vegetable oil', 'eggs', 'evaporated milk', 'salt', 'cornflour', 'lemon wedge', 'tartar sauce', 'ketchup']",674.5,41.2,0.5,69.5,Brisk Walk 20 mins after Breakfast,Push-ups x15 + Dumbbell Curl x12
Day 1,Lunch,boston battered fried fish,"['tilapia fillet', 'all-purpose flour', 'cornflour', 'celery salt', 'sea salt', 'ground black pepper', 'fennel seed', 'onion powder', 'turmeric', 'baking powder', 'paprika', 'water', 'cider vinegar', 'canola oil']",483.4,49.5,0.5,52.5,Brisk Walk 20 mins after Lunch,Push-ups x15 + Dumbbell Curl x12
Day 1,Dinner,hot roast beef sandwiches   gravy,"['beef roast', 'water', 'dry onion soup mix', 'salt', 'pepper', 'broth', 'flour', 'beef bouillon cubes', 'gravymaster']",666.6,44.0,2.5,81.0,Brisk Walk 20 mins after Dinner,Push-ups x15 + Dumbbell Curl x12
Day 2,Breakfast,fish sticks,"['boneless skinless cod', 'egg white', 'skim milk', 'dry bread', 'pepper', 'dried parsley', 'paprika', 'lemon']",630.8,41.2,8.5,93.0,Brisk Walk 20 mins after Breakfast,Bodyweight Squat x20 + Plank 30 sec
Day 2,Lunch,low fat buffalo chicken strips,"['chicken tenders', 'flour', ""frank's red hot sauce"", 'panko breadcrumbs']",617.1,44.0,8.5,73.0,Brisk Walk 20 mins after Lunch,Bodyweight Squat x20 + Plank 30 sec
Day 2,Dinner,couscous and curried chicken,"['olive oil', 'boneless skinless chicken breast', 'frozen mixed vegetables', 'garbanzo beans', 'chicken flavor instant bouillon', 'water', 'mild curry powder', 'cumin', 'couscous']",351.8,44.0,0.0,27.5,Brisk Walk 20 mins after Dinner,Bodyweight Squat x20 + Plank 30 sec
Day 3,Breakfast,arthur treacher s fish,"['fish fillets', 'all-purpose flour', 'pancake mix', 'club soda', 'onion powder', 'seasoning salt', 'oil']",382.8,41.2,0.0,37.5,Brisk Walk 20 mins after Breakfast,Dumbbell Shoulder Press x12 + Lateral Raise x10
Day 3,Lunch,salmon and couscous,"['salt', 'couscous', 'panko breadcrumbs', 'dill', 'salmon fillets', 'pepper', 'dijon mustard', 'baby spinach', 'chicken broth']",591.2,33.0,0.5,72.0,Brisk Walk 20 mins after Lunch,Dumbbell Shoulder Press x12 + Lateral Raise x10
Day 3,Dinner,southern style beef roast,"['parsley', 'basil', 'salt', 'pepper', 'garlic powder', 'onions', 'russet potatoes', 'beef roast']",640.2,46.8,8.5,77.5,Brisk Walk 20 mins after Dinner,Dumbbell Shoulder Press x12 + Lateral Raise x10
Day 4,Breakfast,chicken explosion,"['boneless skinless chicken breast', 'egg whites', 'italian seasoned breadcrumbs', 'angel hair pasta', 'broccoli floret', 'parmesan cheese', ""i can't believe it's not butter spread"", 'italian salad dressing mix', 'garlic pepper seasoning']",537.7,52.2,5.0,48.0,Brisk Walk 20 mins after Breakfast,Band Row x15 + Chest Fly x12
Day 4,Lunch,vegetarian parmazano  cheese,"['nutritional yeast flakes', 'almonds', 'salt']",652.2,52.2,4.5,59.0,Brisk Walk 20 mins after Lunch,Band Row x15 + Chest Fly x12
Day 4,Dinner,beef with ginger,"['sirloin steak', 'salt', 'pepper', 'fresh ginger', 'vegetable oil', 'garlic', 'light soy sauce', 'reduced-sodium fat-free beef broth', 'cornstarch', 'green onions', 'crushed red pepper flakes', 'cooked long-grain rice']",612.4,44.0,1.0,36.5,Brisk Walk 20 mins after Dinner,Band Row x15 + Chest Fly x12
Day 5,Breakfast,perfect fish   chips,"['sole fillets', 'lemon juice', 'white pepper', 'egg white', 'salt', 'flour', 'oil', 'active dry yeast', 'water', 'beer', 'sugar']",542.6,46.8,0.5,52.0,Brisk Walk 20 mins after Breakfast,Walking Lunges x12 each + Calf Raises x20
Day 5,Lunch,bob s white chili,"['boneless skinless chicken breasts', 'chicken broth', 'great northern beans', 'onion', 'garlic', 'green chilies', 'ground cumin', 'ground oregano', 'salt', 'black pepper', 'cayenne pepper', 'green onion']",388.4,38.5,5.5,45.0,Brisk Walk 20 mins after Lunch,Walking Lunges x12 each + Calf Raises x20
Day 5,Dinner,tuscan halibut for two,"['great northern beans', 'tomatoes', 'pesto sauce', 'halibut steaks', 'lemon juice', 'lemon pepper', 'lemon slices', 'aluminum foil']",659.0,33.0,3.5,99.0,Brisk Walk 20 mins after Dinner,Walking Lunges x12 each + Calf Raises x20
Day 6,Breakfast,quinoa crusted chicken fingers,"['boneless skinless chicken breasts', 'salt', 'garlic powder', 'fresh ground black pepper', 'paprika', 'quinoa', 'whole wheat breadcrumbs', 'egg whites', 'olive oil']",651.1,52.2,0.5,62.5,Brisk Walk 20 mins after Breakfast,Dumbbell Deadlift x12
