Day,Meal,Recipe,Ingredients,Calories,Carbs_g,Sugar_g,Protein_g,Post_Meal_Exercise,Daily_Evening_Workout
Day 1,Breakfast,quinoa crusted chicken fingers,"['boneless skinless chicken breasts', 'salt', 'garlic powder', 'fresh ground black pepper', 'paprika', 'quinoa', 'whole wheat breadcrumbs', 'egg whites', 'olive oil']",651.1,52.2,0.5,62.5,Brisk Walk 20 mins after Breakfast,Push-ups x15 + Dumbbell Curl x12
Day 1,Lunch,hamburger and kidney beans,"['lean ground beef', 'dark red kidney beans', 'salt', 'pepper', 'garlic salt']",587.4,46.8,1.0,53.5,Brisk Walk 20 mins after Lunch,Push-ups x15 + Dumbbell Curl x12
Day 1,Dinner,hot roast beef sandwiches   gravy,"['beef roast', 'water', 'dry onion soup mix', 'salt', 'pepper', 'broth', 'flour', 'beef bouillon cubes', 'gravymaster']",666.6,44.0,2.5,81.0,Brisk Walk 20 mins after Dinner,Push-ups x15 + Dumbbell Curl x12
Day 2,Breakfast,fish sticks,"['boneless skinless cod', 'egg white', 'skim milk', 'dry bread', 'pepper', 'dried parsley', 'paprika', 'lemon']",630.8,41.2,8.5,93.0,Brisk Walk 20 mins after Breakfast,Bodyweight Squat x20 + Plank 30 sec
Day 2,Lunch,low fat buffalo chicken strips,"['chicken tenders', 'flour', ""frank's red hot sauce"", 'panko breadcrumbs']",617.1,44.0,8.5,73.0,Brisk Walk 20 mins after Lunch,Bodyweight Squat x20 + Plank 30 sec
Day 2,Dinner,mark bittman s crunchy curried fish,"['white fish fillets', 'vinegar', 'salt', 'fresh ground black pepper', 'ground turmeric', 'curry powder', 'cayenne pepper', 'peanut oil', 'flour', 'fresh cilantro leaves', 'lime wedges']",390.6,44.0,0.5,37.5,Brisk Walk 20 mins after Dinner,Bodyweight Squat x20 + Plank 30 sec
Day 3,Breakfast,arthur treacher s fish,"['fish fillets', 'all-purpose flour', 'pancake mix', 'club soda', 'onion powder', 'seasoning salt', 'oil']",382.8,41.2,0.0,37.5,Brisk Walk 20 mins after Breakfast,Dumbbell Shoulder Press x12 + Lateral Raise x10
Day 3,Lunch,easy beans  in rice cooker,"['dry pinto beans', 'water', 'diced tomatoes', 'butter', 'onion', 'salt and pepper']",281.5,46.8,0.0,23.5,Brisk Walk 17 mins after Lunch,Dumbbell Shoulder Press x12 + Lateral Raise x10
Day 3,Dinner,southern style beef roast,"['parsley', 'basil', 'salt', 'pepper', 'garlic powder', 'onions', 'russet potatoes', 'beef roast']",640.2,46.8,8.5,77.5,Brisk Walk 20 mins after Dinner,Dumbbell Shoulder Press x12 + Lateral Raise x10
Day 4,Breakfast,ww fish and chips,"['fat-free buttermilk', 'fish fillets', 'potatoes', 'paprika', 'salt', 'pepper', 'cornmeal', 'old bay seasoning', 'egg whites', 'fat-free mayonnaise', 'scallion', 'pickle', 'lemon juice']",409.8,44.0,6.0,45.5,Brisk Walk 20 mins after Breakfast,Band Row x15 + Chest Fly x12
Day 4,Lunch,vegan parmesan,"['nutritional yeast', 'whole almond', 'salt']",653.1,52.2,4.5,59.0,Brisk Walk 20 mins after Lunch,Band Row x15 + Chest Fly x12
Day 4,Dinner,loretta lynn s crispy fried chicken,"['roasting chickens', 'poultry seasoning', 'pepper', 'paprika', 'flour', 'garlic salt', 'salt', 'egg yolk', 'water', 'crisco']",667.5,49.5,0.5,39.5,Brisk Walk 20 mins after Dinner,Band Row x15 + Chest Fly x12
Day 5,Breakfast,bacon   cheese stuffed chicken,"['boneless skinless chicken breast halves', 'mozzarella cheese', 'bacon', 'egg', 'italian breadcrumbs', 'olive oil', 'ragu hearty robusto pasta sauce', 'chicken broth', 'linguine']",674.2,46.8,4.5,48.0,Brisk Walk 20 mins after Breakfast,Walking Lunges x12 each + Calf Raises x20
Day 5,Lunch,crock pot southwestern chicken breasts,"['boneless skinless chicken breasts', 'black beans', 'whole kernel corn', 'tomatoes and green chilies', 'salt', 'pepper']",370.4,44.0,5.0,40.0,Brisk Walk 20 mins after Lunch,Walking Lunges x12 each + Calf Raises x20
